SampleName	Group	Genotype	Treatment	Timepoint.hrs	Dose	Treatment2	Replicate
WT_DrugB_EC50_24hr_3	WT_DrugB_EC50_24hr	WT	DrugB	24	EC50	DrugB_EC50	3
WT_DrugB_EC50_24hr_4	WT_DrugB_EC50_24hr	WT	DrugB	24	EC50	DrugB_EC50	4
WT_DrugB_EC90_24hr_1	WT_DrugB_EC90_24hr	WT	DrugB	24	EC90	DrugB_EC90	1
WT_DrugB_EC90_24hr_2	WT_DrugB_EC90_24hr	WT	DrugB	24	EC90	DrugB_EC90	2
WT_DrugB_EC90_24hr_3	WT_DrugB_EC90_24hr	WT	DrugB	24	EC90	DrugB_EC90	3
WT_DrugB_EC90_24hr_4	WT_DrugB_EC90_24hr	WT	DrugB	24	EC90	DrugB_EC90	4
WT_DrugB_EC10_96hr_1	WT_DrugB_EC10_96hr	WT	DrugB	96	EC10	DrugB_EC10	1
WT_DrugB_EC10_96hr_2	WT_DrugB_EC10_96hr	WT	DrugB	96	EC10	DrugB_EC10	2
WT_DrugB_EC10_96hr_4	WT_DrugB_EC10_96hr	WT	DrugB	96	EC10	DrugB_EC10	4
WT_DrugB_EC50_96hr_1	WT_DrugB_EC50_96hr	WT	DrugB	96	EC50	DrugB_EC50	1
WT_DrugB_EC50_96hr_2	WT_DrugB_EC50_96hr	WT	DrugB	96	EC50	DrugB_EC50	2
WT_DrugB_EC50_96hr_3	WT_DrugB_EC50_96hr	WT	DrugB	96	EC50	DrugB_EC50	3
WT_DrugB_EC50_96hr_4	WT_DrugB_EC50_96hr	WT	DrugB	96	EC50	DrugB_EC50	4
WT_DrugB_EC90_96hr_1	WT_DrugB_EC90_96hr	WT	DrugB	96	EC90	DrugB_EC90	1
WT_DrugB_EC90_96hr_2	WT_DrugB_EC90_96hr	WT	DrugB	96	EC90	DrugB_EC90	2
WT_DrugB_EC90_96hr_3	WT_DrugB_EC90_96hr	WT	DrugB	96	EC90	DrugB_EC90	3
WT_DrugB_EC90_96hr_4	WT_DrugB_EC90_96hr	WT	DrugB	96	EC90	DrugB_EC90	4
